"RECTYPE","ORDUNIQ","CUSTOMER","ORDDATE","EXPDATE","PONUMBER","REFERENCE","POSTINV"
"RECTYPE","ORDUNIQ","LINENUM","ITEM","QTYORDERED","QTYSHIPPED","PRIUNTPRC"
"6",63972,"REP","WAREHOUSE"
"6",63972,"OPT4","INVOICE"
"1",63975,"EDG0073","20101109",20101111,"63788099","EDG-1052","0"
"2",63975,2,"286020",1,0,90.76
"2",63975,3,"286017",2,0,382.25
"2",63975,4,"279017",1,0,272.25
"2",63975,5,"153501076",1,0,213.00
"2",63975,6,"10016283",1,0,299.74
"2",63975,7,"10016284",1,0,382.24
"2",63975,8,"10016286",2,0,96.24
"2",63975,9,"071104212",1,0,327.25
"2",63975,11,"07024630",1,0,79.74
"2",63975,13,"07024604",3,0,327.25
"2",63975,14,"07013669",1,0,79.75
"2",63975,16,"38271476",1,0,279.00
"2",63975,17,"38271576",1,0,333.01
"3",63975,32
"6",63975,"REP","WAREHOUSE"
"6",63975,"OPT4","INVOICE"
"1",63974,"EDG0108","20101109",20101111,"63788100","EDG-1052","0"
"2",63974,1,"082002",2,0,90.76
"2",63974,2,"286020",1,0,90.76
"2",63974,3,"100680",1,0,481.25
"2",63974,4,"JLC30501",1,0,437.25
"2",63974,6,"1025731",1,0,96.25
"2",63974,7,"287016",1,0,294.25
"2",63974,9,"160680",1,0,481.25
"2",63974,10,"300480",1,0,382.25
"2",63974,11,"191479",2,0,206.25
"2",63974,12,"191288",2,0,272.24
"2",63974,13,"191289",2,0,327.25
"2",63974,14,"084020",1,0,90.76
"2",63974,15,"07024604",3,0,327.25
"2",63974,16,"APRSBF010020",1,0,382.25
"3",63974,32
"6",63974,"REP","WAREHOUSE"
"6",63974,"OPT4","INVOICE"
"1",63967,"EDG0240","20101109",20101111,"63788101","EDG-1052","0"
"2",63967,2,"082002",7,0,90.76
"2",63967,3,"152467676",1,0,213.00
"2",63967,4,"152459376",1,0,333.01
"2",63967,5,"286020",1,0,90.76
"2",63967,6,"100680",1,0,481.25
"2",63967,7,"1025546",1,0,299.75
"2",63967,8,"153501076",2,0,213.00
"2",63967,9,"153499176",1,0,333.01
"2",63967,10,"287016",1,0,294.25
"2",63967,11,"287017",3,0,382.25
"2",63967,13,"150480",1,0,382.25
"2",63967,14,"150680",1,0,481.25
"2",63967,15,"160480",2,0,382.25
"2",63967,16,"300480",2,0,382.25
"2",63967,17,"310480",1,0,382.25
"2",63967,18,"310680",1,0,492.25
"2",63967,19,"191479",2,0,206.25
"2",63967,20,"191289",2,0,327.25
"2",63967,21,"10016283",2,0,299.74
"2",63967,22,"084020",2,0,90.76
"2",63967,23,"084007",1,0,382.25
"2",63967,24,"071104212",1,0,327.25
"2",63967,25,"07024630",1,0,79.74
"2",63967,26,"07024631",1,0,107.25
"2",63967,27,"07024621",1,0,206.25
"2",63967,30,"38271476",1,0,279.00
"2",63967,31,"38271576",1,0,333.01
"2",63967,32,"57354276",1,0,333.01
"3",63967,32
"6",63967,"REP","WAREHOUSE"
"6",63967,"OPT4","INVOICE"
"1",63991,"EDG0245","20101109",20101111,"63788102","EDG-1052","0"
"2",63991,2,"082002",1,0,90.76
"2",63991,3,"286020",1,0,90.76
"2",63991,4,"279017",1,0,272.25
"2",63991,5,"084020",1,0,90.76
"2",63991,6,"07024630",1,0,79.74
"2",63991,7,"07024604",1,0,327.25
"3",63991,32
"6",63991,"REP","WAREHOUSE"
"6",63991,"OPT4","INVOICE"
"1",63990,"EDG0280","20101109",20101111,"63788103","EDG-1052","0"
"2",63990,2,"082002",3,0,90.76
"2",63990,3,"286020",1,0,90.76
"2",63990,4,"084020",2,0,90.76
"3",63990,32
"6",63990,"REP","WAREHOUSE"
"6",63990,"OPT4","INVOICE"
"1",64000,"EDG0300","20101109",20101111,"63788104","EDG-1052","0"
"2",64000,2,"082002",9,0,90.76
"2",64000,3,"286020",1,0,90.76
"2",64000,4,"286017",1,0,382.25
"2",64000,5,"279017",1,0,272.25
"2",64000,6,"287017",3,0,382.25
"2",64000,7,"084007",4,0,382.25
"3",64000,32
"6",64000,"REP","WAREHOUSE"
"6",64000,"OPT4","INVOICE"
"1",63986,"EDG0330","20101109",20101111,"63788105","EDG-1052","0"
"2",63986,2,"082002",1,0,90.76
"2",63986,3,"286020",1,0,90.76
"2",63986,4,"279017",1,0,272.25
"2",63986,5,"084020",1,0,90.76
"3",63986,32
"6",63986,"REP","WAREHOUSE"
"6",63986,"OPT4","INVOICE"
"1",63992,"EDG0340","20101109",20101111,"63788106","EDG-1052","0"
"2",63992,1,"082002",2,0,90.76
"2",63992,2,"286020",1,0,90.76
"2",63992,3,"130480",1,0,382.25
"2",63992,4,"1025731",1,0,96.25
"2",63992,5,"1025932",1,0,107.25
"2",63992,6,"310680",2,0,492.25
"2",63992,7,"160491276",2,0,310.75
"2",63992,8,"191479",2,0,206.25
"2",63992,9,"191288",2,0,272.24
"2",63992,10,"191289",1,0,327.25
"2",63992,11,"10016283",1,0,299.74
"2",63992,12,"10016286",2,0,96.24
"2",63992,13,"084020",1,0,90.76
"2",63992,14,"071104212",1,0,327.25
"2",63992,16,"07024630",1,0,79.74
"2",63992,17,"07013669",1,0,79.75
"2",63992,18,"38271476",1,0,279.00
"3",63992,32
"6",63992,"REP","WAREHOUSE"
"6",63992,"OPT4","INVOICE"
"1",63945,"EDG0345","20101109",20101111,"63788107","EDG-1052","0"
"2",63945,1,"286020",2,0,90.76
"2",63945,2,"100480",3,0,382.25
"2",63945,3,"153501076",4,0,213.00
"2",63945,4,"287017",6,0,382.25
"2",63945,5,"150480",2,0,382.25
"2",63945,6,"160480",1,0,382.25
"2",63945,7,"300680",3,0,492.25
"2",63945,8,"191479",1,0,206.25
"2",63945,9,"191288",2,0,272.24
"2",63945,10,"191289",2,0,327.25
"2",63945,11,"10016282",1,0,244.75
"2",63945,12,"10016283",1,0,299.74
"2",63945,13,"084020",1,0,90.76
"2",63945,14,"084007",2,0,382.25
"2",63945,17,"07024630",1,0,79.74
"2",63945,18,"07013669",1,0,79.75
"2",63945,19,"57354176",2,0,279.00
"2",63945,20,"57354276",1,0,333.01
"3",63945,32
"6",63945,"REP","WAREHOUSE"
"6",63945,"OPT4","INVOICE"
"1",63961,"EDG0350","20101109",20101111,"63788108","EDG-1052","0"
"2",63961,2,"082002",2,0,90.76
"2",63961,3,"APRSBF010024",1,0,360.25
"2",63961,4,"APRSBF010025",1,0,481.25
"2",63961,5,"APRSBF010026",1,0,673.75
"2",63961,6,"286020",1,0,90.76
"2",63961,8,"JLB30602",1,0,382.25
"2",63961,10,"JL003A02",1,0,327.25
"2",63961,11,"JL003A04",1,0,327.25
"2",63961,12,"1025549",1,0,382.25
"2",63961,13,"150680",1,0,481.25
"2",63961,14,"191288",2,0,272.24
"2",63961,15,"084020",1,0,90.76
"2",63961,17,"071104212",1,0,327.25
"2",63961,19,"07024630",1,0,79.74
"2",63961,21,"07013669",1,0,79.75
"2",63961,24,"APAP1026",1,0,657.26
"2",63961,25,"APRSBF010020",1,0,382.25
"2",63961,26,"APRSBF010021",1,0,519.75
"3",63961,32
"6",63961,"REP","WAREHOUSE"
"6",63961,"OPT4","INVOICE"
"1",63943,"EDG0353","20101109",20101111,"63788109","EDG-1052","0"
"2",63943,2,"082002",4,0,90.76
"2",63943,3,"286020",1,0,90.76
"2",63943,4,"286017",3,0,382.25
"2",63943,5,"1025731",1,0,96.25
"2",63943,6,"1025932",2,0,107.25
"2",63943,7,"027009",5,0,217.25
"2",63943,8,"279017",1,0,272.25
"2",63943,9,"153501076",2,0,213.00
"2",63943,10,"153499176",2,0,333.01
"2",63943,11,"287017",4,0,382.25
"2",63943,12,"160491276",1,0,310.75
"2",63943,13,"191479",2,0,206.25
"2",63943,14,"191288",1,0,272.24
"2",63943,15,"10016282",1,0,244.75
"2",63943,17,"084020",1,0,90.76
"2",63943,18,"084007",2,0,382.25
"2",63943,21,"07024630",1,0,79.74
"2",63943,23,"07024604",2,0,327.25
"2",63943,24,"07013669",1,0,79.75
"3",63943,32
"6",63943,"REP","WAREHOUSE"
"6",63943,"OPT4","INVOICE"
"1",63966,"EDG0550","20101109",20101111,"63788111","EDG-1052","0"
"2",63966,1,"286020",1,0,90.76
"2",63966,4,"JL003A04",1,0,327.25
"2",63966,5,"287016",1,0,294.25
"2",63966,7,"300480",2,0,382.25
"2",63966,8,"300680",2,0,492.25
"2",63966,9,"310480",8,0,382.25
"2",63966,10,"310680",3,0,492.25
"2",63966,11,"191479",5,0,206.25
"2",63966,12,"191288",5,0,272.24
"2",63966,13,"191289",5,0,327.25
"2",63966,14,"084020",1,0,90.76
"3",63966,32
"6",63966,"REP","WAREHOUSE"
"6",63966,"OPT4","INVOICE"
"1",63994,"EDG0558","20101109",20101111,"63788112","EDG-1052","0"
"2",63994,1,"082002",1,0,90.76
"2",63994,2,"286020",1,0,90.76
"2",63994,3,"1025731",1,0,96.25
"2",63994,4,"1025932",1,0,107.25
"2",63994,5,"027012",1,0,107.25
"2",63994,6,"279015",1,0,162.24
"2",63994,7,"279017",1,0,272.25
"2",63994,8,"287017",4,0,382.25
"2",63994,10,"160491276",2,0,310.75
"2",63994,11,"10016285",2,0,299.74
"2",63994,12,"10016286",2,0,96.24
"2",63994,13,"084020",1,0,90.76
"2",63994,14,"084007",1,0,382.25
"2",63994,16,"07024630",1,0,79.74
"2",63994,17,"07024621",1,0,206.25
"2",63994,18,"07013666",1,0,206.25
"2",63994,19,"07013669",1,0,79.75
"3",63994,32
"6",63994,"REP","WAREHOUSE"
"6",63994,"OPT4","INVOICE"
"1",63979,"EDG0559","20101109",20101111,"63788113","EDG-1052","0"
"2",63979,1,"286020",1,0,90.76
"2",63979,2,"100480",2,0,382.25
"2",63979,3,"170504677",1,0,382.25
"2",63979,4,"150480",1,0,382.25
"2",63979,5,"160480",1,0,382.25
"2",63979,6,"310680",1,0,492.25
"2",63979,7,"084020",1,0,90.76
"2",63979,8,"07013669",1,0,79.75
"3",63979,32
"6",63979,"REP","WAREHOUSE"
"6",63979,"OPT4","INVOICE"
"1",64010,"EDG0570","20101109",20101111,"63788114","EDG-1052","0"
"2",64010,1,"130480",1,0,382.25
"2",64010,2,"153501076",1,0,213.00
"2",64010,3,"153499176",1,0,333.01
"2",64010,4,"310480",1,0,382.25
"2",64010,5,"07024630",1,0,79.74
"3",64010,32
"6",64010,"REP","WAREHOUSE"
"6",64010,"OPT4","INVOICE"
"1",63988,"EDG0600","20101109",20101111,"63788115","EDG-1052","0"
"2",63988,2,"082002",14,0,90.76
"2",63988,3,"286020",1,0,90.76
"2",63988,4,"279017",3,0,272.25
"2",63988,5,"170504677",1,0,382.25
"2",63988,6,"071104212",1,0,327.25
"2",63988,8,"07013669",1,0,79.75
"3",63988,32
"6",63988,"REP","WAREHOUSE"
"6",63988,"OPT4","INVOICE"
"1",63983,"EDG0652","20101109",20101111,"63788117","EDG-1052","0"
"2",63983,2,"286020",1,0,90.76
"2",63983,3,"1025731",1,0,96.25
"2",63983,4,"1025932",1,0,107.25
"2",63983,5,"153501076",1,0,213.00
"2",63983,6,"150480",1,0,382.25
"2",63983,7,"150680",1,0,481.25
"2",63983,8,"160480",1,0,382.25
"2",63983,9,"160680",1,0,481.25
"2",63983,10,"300480",2,0,382.25
"2",63983,11,"310480",1,0,382.25
"2",63983,12,"310680",1,0,492.25
"2",63983,13,"191479",2,0,206.25
"2",63983,14,"191288",2,0,272.24
"2",63983,15,"191289",2,0,327.25
"2",63983,16,"10016282",1,0,244.75
"2",63983,17,"10016283",1,0,299.74
"2",63983,18,"084020",1,0,90.76
"2",63983,20,"07024630",1,0,79.74
"3",63983,32
"6",63983,"REP","WAREHOUSE"
"6",63983,"OPT4","INVOICE"
"1",63962,"EDG0665","20101109",20101111,"63788118","EDG-1052","0"
"2",63962,1,"082002",17,0,90.76
"2",63962,2,"286020",1,0,90.76
"2",63962,3,"1025731",1,0,96.25
"2",63962,5,"084020",1,0,90.76
"2",63962,6,"084007",4,0,382.25
"2",63962,8,"07024604",1,0,327.25
"2",63962,9,"07013669",1,0,79.75
"3",63962,32
"6",63962,"REP","WAREHOUSE"
"6",63962,"OPT4","INVOICE"
"1",63981,"EDG0666","20101109",20101111,"63788119","EDG-1052","0"
"2",63981,2,"082002",1,0,90.76
"2",63981,3,"286020",1,0,90.76
"2",63981,4,"286017",2,0,382.25
"2",63981,5,"084020",1,0,90.76
"2",63981,6,"084007",2,0,382.25
"3",63981,32
"6",63981,"REP","WAREHOUSE"
"6",63981,"OPT4","INVOICE"
"1",64008,"EDG0674","20101109",20101111,"63788120","EDG-1052","0"
"2",64008,2,"APRSBF010024",1,0,360.25
"2",64008,5,"279015",1,0,162.24
"2",64008,6,"279017",1,0,272.25
"2",64008,7,"191289",1,0,327.25
"2",64008,9,"APRSBF010020",1,0,382.25
"2",64008,10,"APRSBF010021",1,0,519.75
"3",64008,32
"6",64008,"REP","WAREHOUSE"
"6",64008,"OPT4","INVOICE"
"1",63987,"EDG0678","20101109",20101111,"63788121","EDG-1052","0"
"2",63987,1,"152459376",1,0,333.01
"2",63987,2,"286020",1,0,90.76
"2",63987,3,"100680",2,0,481.25
"2",63987,4,"JLC30502",1,0,327.25
"2",63987,6,"JLB30602",1,0,382.25
"2",63987,7,"JLB30604",1,0,302.50
"2",63987,10,"120480",1,0,382.25
"2",63987,11,"JL003A02",1,0,327.25
"2",63987,12,"1025546",1,0,299.75
"2",63987,13,"1025731",1,0,96.25
"2",63987,14,"1025932",1,0,107.25
"2",63987,15,"279015",1,0,162.24
"2",63987,16,"153501076",2,0,213.00
"2",63987,17,"153499176",2,0,333.01
"2",63987,18,"170504577",1,0,327.25
"2",63987,19,"170504677",1,0,382.25
"2",63987,20,"287016",1,0,294.25
"2",63987,22,"150480",2,0,382.25
"2",63987,23,"150680",2,0,481.25
"2",63987,24,"160480",3,0,382.25
"2",63987,25,"160680",2,0,481.25
"2",63987,26,"300480",2,0,382.25
"2",63987,27,"310480",1,0,382.25
"2",63987,28,"310680",7,0,492.25
"2",63987,29,"160491176",3,0,255.75
"2",63987,30,"160491276",3,0,310.75
"2",63987,31,"191479",4,0,206.25
"2",63987,32,"191288",4,0,272.24
"2",63987,33,"191289",4,0,327.25
"2",63987,34,"10016282",2,0,244.75
"2",63987,36,"10016285",1,0,299.74
"2",63987,37,"10016286",2,0,96.24
"2",63987,38,"084020",1,0,90.76
"2",63987,39,"084007",1,0,382.25
"2",63987,40,"071104212",4,0,327.25
"2",63987,41,"07024630",1,0,79.74
"2",63987,42,"07024631",1,0,107.25
"2",63987,43,"07024604",6,0,327.25
"2",63987,44,"07024621",1,0,206.25
"2",63987,45,"07013666",5,0,206.25
"2",63987,46,"07013669",1,0,79.75
"2",63987,47,"07013670",1,0,107.25
"3",63987,32
"6",63987,"REP","WAREHOUSE"
"6",63987,"OPT4","INVOICE"
"1",63989,"EDG0684","20101109",20101111,"63788122","EDG-1052","0"
"2",63989,2,"286020",1,0,90.76
"2",63989,3,"084020",1,0,90.76
"3",63989,32
"6",63989,"REP","WAREHOUSE"
"6",63989,"OPT4","INVOICE"
"1",64009,"EDG0690","20101109",20101111,"63788123","EDG-1052","0"
"2",64009,1,"286017",2,0,382.25
"2",64009,2,"071104212",1,0,327.25
"2",64009,4,"57354276",1,0,333.01
"3",64009,32
"6",64009,"REP","WAREHOUSE"
"6",64009,"OPT4","INVOICE"
"1",63954,"EDG0710","20101109",20101111,"63788124","EDG-1052","0"
"2",63954,2,"082002",3,0,90.76
"2",63954,3,"286020",1,0,90.76
"2",63954,5,"JLC30502",1,0,327.25
"2",63954,7,"JL003A04",1,0,327.25
"2",63954,8,"1025546",1,0,299.75
"2",63954,9,"1025731",1,0,96.25
"2",63954,10,"1025932",1,0,107.25
"2",63954,11,"279015",1,0,162.24
"2",63954,12,"153501076",1,0,213.00
"2",63954,13,"153499076",1,0,279.00
"2",63954,14,"170504577",1,0,327.25
"2",63954,15,"287016",1,0,294.25
"2",63954,18,"191288",2,0,272.24
"2",63954,19,"191289",5,0,327.25
"2",63954,21,"10016285",1,0,299.74
"2",63954,22,"10016286",2,0,96.24
"2",63954,23,"084020",1,0,90.76
"2",63954,25,"07024630",1,0,79.74
"2",63954,27,"07024621",1,0,206.25
"2",63954,28,"07013666",1,0,206.25
"3",63954,32
"6",63954,"REP","WAREHOUSE"
"6",63954,"OPT4","INVOICE"
"1",63995,"EDG0715","20101109",20101111,"63788125","EDG-1052","0"
"2",63995,1,"286020",1,0,90.76
"2",63995,3,"JLC30502",1,0,327.25
"2",63995,5,"1025546",1,0,299.75
"2",63995,6,"1025731",1,0,96.25
"2",63995,7,"1025932",1,0,107.25
"2",63995,8,"279017",1,0,272.25
"2",63995,10,"150480",2,0,382.25
"2",63995,11,"150680",3,0,481.25
"2",63995,12,"300480",2,0,382.25
"2",63995,13,"310680",2,0,492.25
"2",63995,14,"160491276",1,0,310.75
"2",63995,15,"191288",2,0,272.24
"2",63995,16,"10016283",2,0,299.74
"2",63995,17,"084020",1,0,90.76
"2",63995,18,"084007",2,0,382.25
"2",63995,20,"07024630",1,0,79.74
"2",63995,21,"07024631",1,0,107.25
"2",63995,22,"07024621",1,0,206.25
"2",63995,23,"07013670",1,0,107.25
"2",63995,24,"APRSBF010020",1,0,382.25
"3",63995,32
"6",63995,"REP","WAREHOUSE"
"6",63995,"OPT4","INVOICE"
"1",63977,"EDG0722","20101109",20101111,"63788127","EDG-1052","0"
"2",63977,1,"286020",1,0,90.76
"2",63977,2,"153499176",1,0,333.01
"2",63977,3,"191479",1,0,206.25
"2",63977,4,"191288",1,0,272.24
"2",63977,5,"191289",1,0,327.25
"2",63977,6,"084020",1,0,90.76
"2",63977,7,"07024630",1,0,79.74
"2",63977,8,"57354276",1,0,333.01
"3",63977,32
"6",63977,"REP","WAREHOUSE"
"6",63977,"OPT4","INVOICE"
"1",63940,"EDG0724","20101109",20101111,"63788128","EDG-1052","0"
"2",63940,2,"150480",1,0,382.25
"2",63940,3,"150680",1,0,481.25
"2",63940,4,"160480",1,0,382.25
"2",63940,5,"160680",1,0,481.25
"2",63940,6,"310480",1,0,382.25
"2",63940,9,"07024604",1,0,327.25
"3",63940,32
"6",63940,"REP","WAREHOUSE"
"6",63940,"OPT4","INVOICE"
"1",64002,"EDG0726","20101109",20101111,"63788129","EDG-1052","0"
"2",64002,1,"286020",1,0,90.76
"2",64002,2,"084020",1,0,90.76
"2",64002,3,"084007",2,0,382.25
"2",64002,4,"07024604",1,0,327.25
"2",64002,6,"57354176",2,0,279.00
"3",64002,32
"6",64002,"REP","WAREHOUSE"
"6",64002,"OPT4","INVOICE"
"1",63959,"EDG0750","20101109",20101111,"63788131","EDG-1052","0"
"2",63959,1,"082002",7,0,90.76
"2",63959,2,"286020",1,0,90.76
"2",63959,3,"286017",1,0,382.25
"2",63959,5,"084020",1,0,90.76
"2",63959,6,"07024630",1,0,79.74
"2",63959,8,"07024604",1,0,327.25
"3",63959,32
"6",63959,"REP","WAREHOUSE"
"6",63959,"OPT4","INVOICE"
"1",63960,"EDG0870","20101109",20101111,"63788132","EDG-1052","0"
"2",63960,1,"286017",1,0,382.25
"2",63960,2,"10016285",1,0,299.74
"2",63960,4,"07024630",1,0,79.74
"2",63960,5,"07024604",1,0,327.25
"2",63960,6,"07013669",1,0,79.75
"3",63960,32
"6",63960,"REP","WAREHOUSE"
"6",63960,"OPT4","INVOICE"
"1",63951,"EDG0890","20101109",20101111,"63788135","EDG-1052","0"
"2",63951,1,"286020",1,0,90.76
"2",63951,2,"1025932",1,0,107.25
"2",63951,3,"279015",1,0,162.24
"2",63951,4,"279017",2,0,272.25
"2",63951,5,"153501076",1,0,213.00
"2",63951,6,"170504677",1,0,382.25
"2",63951,7,"287016",1,0,294.25
"2",63951,9,"191289",2,0,327.25
"2",63951,11,"084020",1,0,90.76
"2",63951,12,"084007",1,0,382.25
"2",63951,14,"07024630",1,0,79.74
"2",63951,15,"07013669",1,0,79.75
"2",63951,17,"38271576",2,0,333.01
"3",63951,32
"6",63951,"REP","WAREHOUSE"
"6",63951,"OPT4","INVOICE"
"1",64003,"EDG0900","20101109",20101111,"63788136","EDG-1052","0"
"2",64003,1,"APRSBF010024",1,0,360.25
"2",64003,3,"100680",2,0,481.25
"2",64003,4,"110480",1,0,382.25
"2",64003,7,"JL003A02",1,0,327.25
"2",64003,8,"1025731",1,0,96.25
"2",64003,9,"1025932",1,0,107.25
"2",64003,10,"287016",1,0,294.25
"2",64003,12,"150480",1,0,382.25
"2",64003,13,"150680",1,0,481.25
"2",64003,14,"160480",1,0,382.25
"2",64003,15,"160680",1,0,481.25
"2",64003,16,"300680",2,0,492.25
"2",64003,17,"310680",5,0,492.25
"2",64003,18,"191288",2,0,272.24
"2",64003,19,"084020",2,0,90.76
"2",64003,20,"071104212",1,0,327.25
"2",64003,22,"07024630",1,0,79.74
"2",64003,23,"07024604",1,0,327.25
"2",64003,24,"07024621",1,0,206.25
"2",64003,26,"APRSBF010020",1,0,382.25
"2",64003,27,"APRSBF010021",1,0,519.75
"3",64003,32
"6",64003,"REP","WAREHOUSE"
"6",64003,"OPT4","INVOICE"
"1",63941,"EDG0915","20101109",20101111,"63788138","EDG-1052","0"
"2",63941,3,"JL003A02",2,0,327.25
"2",63941,4,"JL003A04",1,0,327.25
"2",63941,5,"287016",2,0,294.25
"2",63941,6,"310480",3,0,382.25
"2",63941,7,"191479",3,0,206.25
"2",63941,8,"191288",6,0,272.24
"2",63941,9,"191289",6,0,327.25
"2",63941,10,"10016286",1,0,96.24
"2",63941,11,"07013669",1,0,79.75
"3",63941,32
"6",63941,"REP","WAREHOUSE"
"6",63941,"OPT4","INVOICE"
"1",63949,"EDG0940","20101109",20101111,"63788139","EDG-1052","0"
"2",63949,1,"082002",1,0,90.76
"2",63949,2,"152467676",2,0,213.00
"2",63949,3,"286020",1,0,90.76
"2",63949,4,"100480",1,0,382.25
"2",63949,5,"100680",1,0,481.25
"2",63949,6,"110480",1,0,382.25
"2",63949,9,"JLB30602",1,0,382.25
"2",63949,10,"JLB30604",1,0,302.50
"2",63949,12,"130480",1,0,382.25
"2",63949,13,"1025546",1,0,299.75
"2",63949,14,"1025932",1,0,107.25
"2",63949,15,"279015",1,0,162.24
"2",63949,16,"153501076",2,0,213.00
"2",63949,17,"153499076",1,0,279.00
"2",63949,18,"153499176",2,0,333.01
"2",63949,19,"287016",1,0,294.25
"2",63949,21,"150480",1,0,382.25
"2",63949,22,"150680",1,0,481.25
"2",63949,23,"160480",2,0,382.25
"2",63949,24,"160680",2,0,481.25
"2",63949,25,"300480",12,0,382.25
"2",63949,26,"300680",2,0,492.25
"2",63949,27,"310480",2,0,382.25
"2",63949,28,"310680",2,0,492.25
"2",63949,29,"160491176",1,0,255.75
"2",63949,30,"JL004A03",2,0,302.50
"2",63949,31,"JL004A02",1,0,382.24
"2",63949,32,"191479",2,0,206.25
"2",63949,33,"191288",4,0,272.24
"2",63949,34,"191289",4,0,327.25
"2",63949,35,"10016286",3,0,96.24
"2",63949,36,"084020",1,0,90.76
"2",63949,37,"084007",11,0,382.25
"2",63949,38,"07024630",1,0,79.74
"2",63949,39,"07024604",3,0,327.25
"2",63949,40,"07013669",1,0,79.75
"2",63949,42,"APRSBF010020",1,0,382.25
"2",63949,43,"APRSBF010021",1,0,519.75
"3",63949,32
"6",63949,"REP","WAREHOUSE"
"6",63949,"OPT4","INVOICE"
"1",63999,"EDG1200","20101109",20101111,"63788141","EDG-1052","0"
"2",63999,2,"082002",12,0,90.76
"2",63999,3,"286020",1,0,90.76
"2",63999,4,"1025932",1,0,107.25
"2",63999,5,"287017",2,0,382.25
"2",63999,7,"07013669",1,0,79.75
"3",63999,32
"6",63999,"REP","WAREHOUSE"
"6",63999,"OPT4","INVOICE"
"1",63997,"EDG1245","20101109",20101111,"63788142","EDG-1052","0"
"2",63997,1,"286020",1,0,90.76
"2",63997,2,"286016",1,0,294.25
"2",63997,3,"110480",1,0,382.25
"2",63997,4,"130480",1,0,382.25
"2",63997,5,"130680",1,0,481.25
"2",63997,6,"1025546",1,0,299.75
"2",63997,7,"1025549",1,0,382.25
"2",63997,8,"1025731",1,0,96.25
"2",63997,9,"027012",1,0,107.25
"2",63997,10,"279015",1,0,162.24
"2",63997,11,"279017",1,0,272.25
"2",63997,12,"153501076",1,0,213.00
"2",63997,13,"287016",2,0,294.25
"2",63997,14,"287017",2,0,382.25
"2",63997,16,"150480",2,0,382.25
"2",63997,17,"150680",1,0,481.25
"2",63997,18,"160480",1,0,382.25
"2",63997,19,"160680",1,0,481.25
"2",63997,20,"310480",1,0,382.25
"2",63997,21,"310680",2,0,492.25
"2",63997,22,"191289",3,0,327.25
"2",63997,23,"10016283",1,0,299.74
"2",63997,24,"084020",1,0,90.76
"2",63997,26,"071104212",2,0,327.25
"2",63997,28,"07024604",2,0,327.25
"2",63997,30,"57354276",1,0,333.01
"3",63997,32
"6",63997,"REP","WAREHOUSE"
"6",63997,"OPT4","INVOICE"
"1",63973,"EDG1250","20101109",20101111,"63788143","EDG-1052","0"
"2",63973,1,"082002",4,0,90.76
"2",63973,2,"286020",1,0,90.76
"2",63973,6,"07024630",1,0,79.74
"2",63973,7,"07013669",1,0,79.75
"3",63973,32
"6",63973,"REP","WAREHOUSE"
"6",63973,"OPT4","INVOICE"
"1",64011,"EDG1255","20101109",20101111,"63788144","EDG-1052","0"
